Owner,n_plants,n_operating_plants,total_capacity_ttpa,pipeline_capacity_ttpa,n_countries,n_regions,countries,main_region,median_plant_age_years,n_plants_with_litpop,avg_litpop_nearest_usd,avg_litpop_25km_usd,capacity_weighted_litpop_25km_usd,litpop_coverage_share,bof_share,centroid_lat,centroid_lon,largest_plant,largest_plant_lat,largest_plant_lon,max_distance_to_centroid_km,centroid_to_largest_plant_km
Moon Iron and Steel Company SAOC,1,0,0.0,0.0,1,1,Oman,Middle East,6.0,0,,,,0.0,,24.409437,56.520134,Moon Iron & Steel Company Sohar plant,24.409437,56.520134,0.0,0.0
Mount Zynai 0304 Mining Corp,1,0,0.0,1500.0,1,1,Philippines,Asia Pacific,0.0,0,,,,0.0,,7.716994,122.998671,Mount Zynai Zamboanga Sibugay steel plant,7.716994,122.998671,0.0,0.0
National Steel Complex Ltd,1,0,0.0,1280.0,1,1,Pakistan,Asia Pacific,13.13,0,,,,0.0,,24.794779,67.353032,National Steel Complex Limited Karachi steel plant,24.794779,67.353032,0.0,0.0
Nemo Industries Inc,1,0,0.0,,1,1,United States,North America,,0,,,,0.0,,30.092838753017325,-90.9539266739139,Nemo Industries Ironworks I,30.09283875301732,-90.9539266739139,7.073240659849489e-13,7.073240659849489e-13
Iranian Alborz Steel Co,1,0,0.0,800.0,1,1,Iran,Middle East,,0,,,,0.0,,36.614049,53.234213,Iranian Alborz Steel Mazandaran plant,36.614049,53.234213,0.0,0.0
Iranian Ghadir Iron & Steel Co,1,0,0.0,0.0,1,1,Iran,Middle East,14.84,0,,,,0.0,,32.3912,53.74960000000001,Ghadir Iron and Steel Plant Yazd,32.3912,53.7496,5.97271664957233e-13,5.97271664957233e-13
Egyptian Iron & Steel Co,1,0,0.0,0.0,1,1,Egypt,Africa,64.0,0,,,,0.0,,29.774458,31.312012999999993,Egyptian Iron & Steel Company Cairo plant,29.774458,31.312013,6.139480333387824e-13,6.139480333387824e-13
Ekos Steel Mill PLC,1,0,0.0,0.0,1,1,Ethiopia,Africa,8.0,0,,,,0.0,,8.781155,38.932064999999994,Ekos Steel Dukem plant,8.781155,38.932065,6.990332703211601e-13,6.990332703211601e-13
Electrasteel Inc,1,0,0.0,0.0,1,1,United States,North America,,0,,,,0.0,,40.06301,-105.221982,Electra iron plant,40.06301,-105.221982,0.0,0.0
Orissa Steel & Power Pvt Ltd,1,0,0.0,1804.0,1,1,India,Asia Pacific,,1,47335285.52206003,1748525921.9877195,,1.0,,22.359099999999998,87.017184,Orissa Steel and Power Jhargram steel plant,22.3591,87.017184,3.5366203299247443e-13,3.5366203299247443e-13
Eqlid Pars Steel Co,1,0,0.0,1000.0,1,1,Iran,Middle East,,0,,,,0.0,,30.944867,52.892849,Eqlid Steel Pars plant,30.944867,52.892849,0.0,0.0
Nucor Steel Louisiana LLC,1,0,0.0,0.0,1,1,United States,North America,13.0,0,,,,0.0,,30.076693000000002,-90.859953,Nucor Steel Louisiana,30.076693,-90.859953,0.0,0.0
Equest Steel Pty Ltd,1,0,0.0,500.0,1,1,Australia,Asia Pacific,,0,,,,0.0,,-27.42083,153.127715,Alter Steel Pinkenba steel plant,-27.42083,153.127715,0.0,0.0
Essar Global Fund Ltd,1,0,0.0,4000.0,1,1,Saudi Arabia,Middle East,,0,,,,0.0,,27.544749000000007,49.208103,Essar Ras Al Khair steel plant,27.544749,49.208103,7.073240659849489e-13,7.073240659849489e-13
Nu-Iron Unlimited,1,0,0.0,0.0,1,1,Trinidad and Tobago,Central & South America,19.14,0,,,,0.0,,10.399138000000002,-61.48632599999999,Nu-Iron Unlimited Point Lisas DRI plant,10.399138,-61.486326,1.7683101649623721e-13,1.7683101649623721e-13
Nová Huť sro,1,0,0.0,3500.0,1,1,Czech Republic,Europe,74.0,0,,,,0.0,,49.792139,18.309874999999998,Nová Hut Ostrava steel plant,49.792139,18.309875,2.283109372323099e-13,2.283109372323099e-13
