iso3,lat_bin,lon_bin,value,log10_value
CHN,24.75,110.25,1548152685.0,9.19
CHN,24.75,110.75,1274986656.0,9.106
CHN,24.75,111.25,1326900088.0,9.123
CHN,24.75,111.75,200352357.0,8.302
CHN,24.75,112.25,2476480125.0,9.394
CHN,24.75,112.75,174848126.0,8.243
CHN,24.75,113.25,1018072537.0,9.008
CHN,24.75,113.75,28880038992.0,10.461
CHN,24.75,114.25,705150775.0,8.848
CHN,24.75,114.75,1928091824.0,9.285
CHN,24.75,115.25,597278522.0,8.776
CHN,24.75,115.75,1651475246.0,9.218
CHN,24.75,116.25,1467434557.0,9.167
CHN,24.75,116.75,1693169551.0,9.229
CHN,24.75,117.25,1353373362.0,9.131
CHN,24.75,117.75,73445062930.0,10.866
CHN,24.75,118.25,147578003704.0,11.169
CHN,24.75,118.75,224966683825.0,11.352
CHN,25.25,97.75,5014722.0,6.7
CHN,25.25,98.25,438535561.0,8.642
CHN,25.25,98.75,458744142.0,8.662
CHN,25.25,99.25,7480552972.0,9.874
CHN,25.25,99.75,209328314.0,8.321
CHN,25.25,100.25,1008361536.0,9.004
CHN,25.25,100.75,1533407188.0,9.186
CHN,25.25,101.25,1038641188.0,9.016
CHN,25.25,101.75,5711667353.0,9.757
CHN,25.25,102.25,1162280232.0,9.065
CHN,25.25,102.75,211096163439.0,11.324
CHN,25.25,103.25,4346979998.0,9.638
CHN,25.25,103.75,13984221541.0,10.146
CHN,25.25,104.25,345557831.0,8.539
CHN,25.25,104.75,12133029479.0,10.084
CHN,25.25,105.25,2265862054.0,9.355
CHN,25.25,105.75,488179997.0,8.689
CHN,25.25,106.25,217276681.0,8.337
CHN,25.25,106.75,277585222.0,8.443
CHN,25.25,107.25,108050117.0,8.034
CHN,25.25,107.75,295783661.0,8.471
CHN,25.25,108.25,45612703.0,7.659
CHN,25.25,108.75,63465925.0,7.803
CHN,25.25,109.25,1166893452.0,9.067
CHN,25.25,109.75,126889213.0,8.103
CHN,25.25,110.25,50366533532.0,10.702
CHN,25.25,110.75,98900070.0,7.995
CHN,25.25,111.25,352089738.0,8.547
CHN,25.25,111.75,1208338683.0,9.082
CHN,25.25,112.25,619573608.0,8.792
CHN,25.25,112.75,2093477279.0,9.321
CHN,25.25,113.25,1193558138.0,9.077
CHN,25.25,113.75,568658281.0,8.755
CHN,25.25,114.25,1582039014.0,9.199
CHN,25.25,114.75,1516420606.0,9.181
CHN,25.25,115.25,492195517.0,8.692
CHN,25.25,115.75,168869031.0,8.228
CHN,25.25,116.25,2136691536.0,9.33
CHN,25.25,116.75,4185255731.0,9.622
CHN,25.25,117.25,12981284516.0,10.113
